population	plantID	Inflo	infloID	Numfl	posicionestig	Longestigma	styleexertion	herkoAbsol	posicionestilo	herkoRela	longcor	anchcor	longP	anchP
B	B16	AZ	B16AZ	12	E	4.5	4.5	2.4	DE	-2.4	31.25	2.65	14.55	9.29
B	B16	AZ	B16AZ		E	4.76	4.76	1.8	DE	-1.8	31.29	1.96	14.19	9.92
B	B16	AZ	B16AZ		E	5.82	5.82	2.44	DE	-2.44	32.15	2.22	14.08	9.61
B	B16	AZ	B16AZ		E	3.94	3.94	1.64	DE	-1.64	30.56	2.43	12.8	9.6
B	B16	RS	B16RS	12	E	4.8	4.8	1.56	DE	-1.56	31.05	2.4	13.01	8.62
B	B16	RS	B16RS		E	4.22	4.22	3.15	DE	-3.15	31.64	2.17	12.89	8.37
B	B16	RS	B16RS		E	1.02	1.02	3.88	DE	-3.88	33.06	2.17	10.95	9.01
B	B16	RS	B16RS		E	5.27	5.27	1.25	DE	-1.25	30.12	2.04	15.6	9.26
B	B16	RJ	B16RJ	6	E	3.53	3.53	4.21	DE	-4.21	33.61	2.32	14.36	9.39
B	B16	RJ	B16RJ		D	5.89	-5.89	11.05	DE	-11.05	31.53	3.44	12.98	10.07
B	B16	RJ	B16RJ		D	4.06	-4.06	10.15	DE	-10.15	31.67	2.15	13.4	13.69
B	B16	RJ	B16RJ		E	6.19	6.19	0.85	DE	-0.85	28.52	2.09	12.17	9.18
B	B27	AM	B27AM	6	E	4.05	4.05	1.58	EE	1.58	18.17	1.58	5.06	4.72
B	B27	AM	B27AM		E	4.23	4.23	1.54	EE	1.54	18.17	2.15	5.76	4.7
B	B27	AM	B27AM		E	3.14	3.14	2.36	DE	-2.36	16.21	2.13	5.84	4.73
B	B27	CAIDAS	B27CAIDAS		D	1.44	-1.44	5.57	DE	-5.57	26.89	2.27	5.75	6.46
B	B27	CAIDAS	B27CAIDAS		D	2.17	-2.17	7.74	DE	-7.74	28.28	1.13	4.9	5.13
B	B27	CAIDAS	B27CAIDAS		AP	0	0	3.44	DE	-3.44	24.94	1.77	7.88	6.66
B	B27	CAIDAS	B27CAIDAS		D	0.9	-0.9	4.9	DE	-4.9	28.56	1.55	6.66	6.76
B	B27	CAIDAS	B27CAIDAS		AP	0	0	4.16	DE	-4.16	25.96	1.4	6.69	5.9
B	B27	CAIDAS	B27CAIDAS		E	1.25	1.25	3.01	DE	-3.01	27.65	1.63	6.67	7.13
B	B27	CAIDAS	B27CAIDAS		AP	0	0	0.27	DE	-0.27	27.9	1.64	6.64	6.96
B	B27	CAIDAS	B27CAIDAS		E	1.14	1.14	5.82	DE	-5.82	24.6	1.29	6.34	8.4
B	B27	CAIDAS	B27CAIDAS		E	2.31	2.31	2.55	DE	-2.55	25.95	2.02	7.66	5.45
B	B27	CAIDAS	B27CAIDAS		AP	0	0	4.52	DE	-4.52	29.5	2.21	8.41	10.02
B	B27	CAIDAS	B27CAIDAS		AP	0	0	6.29	DE	-6.29	30.25	2.2	6.98	8.67
B	B27	CAIDAS	B27CAIDAS		E	4.99	4.99	0	MA	0	23.5	1.87	6.73	6.51
B	B27	CAIDAS	B27CAIDAS		D	0.91	-0.91	4.92	DE	-4.92	30.99	2.17	7.74	6.1
B	B27	CAIDAS	B27CAIDAS		AP	0	0	4.87	DE	-4.87	29.55	1.9	8.57	8.21
B	B27	CAIDAS	B27CAIDAS		D	11.67	-11.67	13.86	DE	-13.86	26.56	1.73	6.64	7.7
B	B27	CAIDAS	B27CAIDAS		D	1.31	-1.31	5.83	DE	-5.83	26.09	1.83	7.04	8.71
B	B27	CAIDAS	B27CAIDAS		E	2.3	2.3	3.85	DE	-3.85	27.55	1.99	6.4	7.64
B	B29	AM	B29AM	5	E	2.07	2.07	0	MA	0	14.46	1.54	7.02	6.51
B	B29	AM	B29AM		E	5.94	5.94	2.33	EE	2.33	23.15	1.39	11.84	8.91
B	B29	AM	B29AM		E	5.82	5.82	2.8	EE	2.8	17.1	1.5	11.01	6.54
B	B29	AM	B29AM		E	3.74	3.74	6.93	EE	6.93	17.25	1.56	7.01	5.76
B	B32	BL	B32BL	6	D	0.68	-0.68	7.82	DE	-7.82	30.45	1.25	12.57	6.52
